OWNER|SYNONYM_NAME|TABLE_OWNER|TABLE_NAME|DB_LINK
FUSION|ADXX_AP_XLA_TAB_GRP|FUSION_DYNAMIC|ADXX_AP_XLA_TAB_GRP|
FUSION|ADXX_AP_XLA_TAB_GT|FUSION_DYNAMIC|ADXX_AP_XLA_TAB_GT|
FUSION|ADXX_AP_XLA_TAB_GT2502051823|FUSION_DYNAMIC|ADXX_AP_XLA_TAB_GT2502051823|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_ADN|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_CGO|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_FLQ|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_INV|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_MOD|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_PRJ|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_REQ|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_SET|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_SPS|
FUSION|ADXX_DOO_PC_FF_FLINEDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEDOO_SSD|
FUSION|ADXX_DOO_PC_FF_FLINEFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNARN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNBIL|
FUSION|ADXX_DOO_PC_FF_FLINEFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNCLS|
FUSION|ADXX_DOO_PC_FF_FLINEFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNCNC|
FUSION|ADXX_DOO_PC_FF_FLINEFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNCNQN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNFUL|
FUSION|ADXX_DOO_PC_FF_FLINEFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNIRN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNORGN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNPMTN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNRCV|
FUSION|ADXX_DOO_PC_FF_FLINEFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNRDN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNSDTN|
FUSION|ADXX_DOO_PC_FF_FLINEFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLINEFLNSHP|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_ADN|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_CGO|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_FLQ|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_INV|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_MOD|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_PRJ|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_REQ|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_SET|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_SPS|
FUSION|ADXX_DOO_PC_FF_FLNHDRDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRDOO_SSD|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNARN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNBIL|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNCLS|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNCNC|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNCNQN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNFUL|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNIRN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNORGN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNPMTN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNRCV|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNRDN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNSDTN|
FUSION|ADXX_DOO_PC_FF_FLNHDRFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNHDRFLNSHP|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_ADN|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_CGO|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_FLQ|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_INV|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_MOD|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_PRJ|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_REQ|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_SET|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_SPS|
FUSION|ADXX_DOO_PC_FF_FLNLINDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINDOO_SSD|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNARN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNBIL|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNCLS|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNCNC|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNCNC|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNCNQN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNCNQN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNFUL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNFUL|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNIRN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNIRN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNORGN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNORGN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNPMTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNPMTN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNRCV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNRCV|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNRDN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNRDN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNSDTN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNSDTN|
FUSION|ADXX_DOO_PC_FF_FLNLINFLNSHP|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNLINFLNSHP|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_ADN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_ADN|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_CGO|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_CGO|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_FLQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_FLQ|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_INV|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_INV|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_MOD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_MOD|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_PRJ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_PRJ|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_REQ|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_REQ|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_SET|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_SET|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_SPS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_SPS|
FUSION|ADXX_DOO_PC_FF_FLNSHPDOO_SSD|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPDOO_SSD|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNARN|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNARN|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNBIL|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNBIL|
FUSION|ADXX_DOO_PC_FF_FLNSHPFLNCLS|FUSION_DYNAMIC|ADXX_DOO_PC_FF_FLNSHPFLNCLS|
