OWNER,TABLE_NAME
FUSION,AR_AGING_BUCKETS
FUSION,AR_AGING_BUCKETS_
FUSION,AR_AGING_BUCKET_LINES_B
FUSION,AR_AGING_BUCKET_LINES_B_
FUSION,AR_AGING_BUCKET_LINES_TL
FUSION,AR_COLLECTORS
FUSION,AR_COLLECTORS_
FUSION,IEX_ASSIGNMENTS
FUSION,IEX_ASSIGNMENTS_
FUSION,IEX_BANKRUPTCIES
FUSION,IEX_BANKRUPTCIES_DISPOSITIONS
FUSION,IEX_CASE_FOLDERS
FUSION,IEX_CASE_FOLDER_OBJECTS
FUSION,IEX_CUST_BANKRUPTCIES
FUSION,IEX_DELINQUENCIES_ALL
FUSION,IEX_DELINQ_SUMMARIES_ALL
FUSION,IEX_DEL_BUFFERS
FUSION,IEX_DEL_STATUSES
FUSION,IEX_DUNNINGS
FUSION,IEX_DUNNING_PLANS_B
FUSION,IEX_DUNNING_PLANS_B_
FUSION,IEX_DUNNING_PLANS_TL
FUSION,IEX_DUNNING_TRANSACTIONS
FUSION,IEX_DUN_CONF_DETAILS
FUSION,IEX_DUN_CONF_DETAILS_
FUSION,IEX_ESSBASE_BALANCES
FUSION,IEX_ESSBASE_BALANCES_GT
FUSION,IEX_ESSBASE_BAL_TRANSFER
FUSION,IEX_METRIC_SUMMARIES_ALL
FUSION,IEX_OBJECT_FILTERS
FUSION,IEX_PRD_APPL_XREF
FUSION,IEX_PROMISE_DETAILS
FUSION,IEX_QUESTIONNAIRE_ITEMS
FUSION,IEX_QUESTIONNAIRE_ITEMS_
FUSION,IEX_SCORES
FUSION,IEX_SCORES_
FUSION,IEX_SCORE_COMPONENTS
FUSION,IEX_SCORE_COMPONENTS_
FUSION,IEX_SCORE_COMP_DET
FUSION,IEX_SCORE_COMP_DET_
FUSION,IEX_SCORE_COMP_PARAMS
FUSION,IEX_SCORE_COMP_TYPES_B
FUSION,IEX_SCORE_COMP_TYPES_B_
FUSION,IEX_SCORE_COMP_TYPES_TL
FUSION,IEX_SCORE_DATA_POINT_HISTORIES
FUSION,IEX_SCORE_HISTORIES
FUSION,IEX_STRATEGIES
FUSION,IEX_STRATEGY_ASSIGNMENT_MATRIX
FUSION,IEX_STRATEGY_ASSIGNMENT_MATRI_
FUSION,IEX_STRATEGY_SEGMENTS
FUSION,IEX_STRATEGY_SEGMENTS_
FUSION,IEX_STRATEGY_TEMPLATES_B
FUSION,IEX_STRATEGY_TEMPLATES_B_
FUSION,IEX_STRATEGY_TEMPLATES_TL
FUSION,IEX_STRATEGY_TEMPLATE_GROUPS
FUSION,IEX_STRATEGY_TEMPLATE_GROUPS_
FUSION,IEX_STRATEGY_USER_ITEMS
FUSION,IEX_STRATEGY_WORK_ITEMS
FUSION,IEX_STRATEGY_WORK_SKILLS
FUSION,IEX_STRATEGY_WORK_TEMP_XREF
FUSION,IEX_STRATEGY_WORK_TEMP_XREF_
FUSION,IEX_STRY_TEMP_WORK_ITEMS_B
FUSION,IEX_STRY_TEMP_WORK_ITEMS_B_
FUSION,IEX_STRY_TEMP_WORK_ITEMS_TL
FUSION,AR_AGING_BUCKET_LINES_VL
FUSION,IEX_DELINQUENCIES_NEW_V
FUSION,IEX_DISPUTES_V
FUSION,IEX_DISPUTE_LINES_V
FUSION,IEX_DUNNING_PLANS_VL
FUSION,IEX_F_ACCOUNTS_V
FUSION,IEX_F_BILLTO_V
FUSION,IEX_F_PARTIES_V
FUSION,IEX_F_SCORE_INVOICES_QUICK_V
FUSION,IEX_F_SCORE_INVOICES_V
FUSION,IEX_LOOKUPS_V
FUSION,IEX_PAYMENTS_V
FUSION,IEX_SCORE_COMP_TYPES_VL
FUSION,IEX_SCORE_ENG_COMPONENTS_V
FUSION,IEX_STRATEGY_TEMPLATES_VL
FUSION,IEX_STRY_TEMP_WORK_ITEMS_VL
FUSION,FA_ACE_BOOKS
FUSION,FA_ADDITIONS_B
FUSION,FA_ADDITIONS_B_
FUSION,FA_ADDITIONS_TL
FUSION,FA_ADD_WARRANTIES
FUSION,FA_ADJUSTMENTS
FUSION,FA_ADJUSTMENTS_T
