OWNER|FK_NAME|SRC_TABLE|SRC_COLUMN|TGT_TABLE|TGT_COLUMN|POSITION
FUSION|JV_OVERHEAD_MEASURE_TYPES|JV_OVERHEAD_MEASURE_TYPES|OVERHEAD_METHOD_ID|jv_overhead_methods_f_b|ID|1
FUSION|JV_OVERHEAD_MEASURE_TYPES|JV_OVERHEAD_MEASURE_TYPES|MEASURE_TYPE_ID|jv_measure_types_b|ID|1
FUSION|CE_AP_PM_DOC_CATEGORIES|CE_AP_PM_DOC_CATEGORIES|BANK_ACCT_USE_ID|ce_bank_acct_uses_all|ID|1
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS|CE_PMT_INSTR_BU_ASSIGNMENTS|PAYMENT_INSTRUMENT_ID|ce_payment_instruments|ID|1
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS|CE_PMT_INSTR_BU_ASSIGNMENTS|ASSET_CCID|gl_code_combinations|ID|1
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS|CE_PMT_INSTR_BU_ASSIGNMENTS|CLEARING_CCID|gl_code_combinations|ID|1
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS|CE_PMT_INSTR_BU_ASSIGNMENTS|CHARGE_CCID|gl_code_combinations|ID|1
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS|CE_PMT_INSTR_BU_ASSIGNMENTS|EXCHANGE_GAIN_CCID|gl_code_combinations|ID|1
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS|CE_PMT_INSTR_BU_ASSIGNMENTS|EXCHANGE_LOSS_CCID|gl_code_combinations|ID|1
FUSION|AR_DISPUTE_HISTORY|AR_DISPUTE_HISTORY|PAYMENT_SCHEDULE_ID|ar_payment_schedules_all|ID|1
FUSION|JL_BR_AR_SELECT_ACCOUNTS_ALL|JL_BR_AR_SELECT_ACCOUNTS_ALL|SELECTION_CONTROL_ID|jl_br_ar_select_controls_all|ID|1
FUSION|JL_BR_AR_SELECT_ACCOUNTS_ALL|JL_BR_AR_SELECT_ACCOUNTS_ALL|BANK_ACCOUNT_ID|ce_bank_accounts|ID|1
FUSION|JL_BR_AR_SELECT_ACCOUNTS_ALL|JL_BR_AR_SELECT_ACCOUNTS_ALL|BATCH_SOURCE_ID|ar_batch_sources_all|ID|1
FUSION|JL_BR_AR_SELECT_ACCOUNTS_ALL|JL_BR_AR_SELECT_ACCOUNTS_ALL|BANK_ACCT_USE_ID|ce_bank_acct_uses_all|ID|1
FUSION|jl_br_ar_coll_batches_all|JL_BR_AR_SELECT_ACCOUNTS_ALL|SELECT_ACCOUNT_ID|jl_br_ar_select_accounts_all|ID|1
