OWNER|FK_NAME|SRC_TABLE|SRC_COLUMN|TGT_TABLE|TGT_COLUMN|POSITION
FUSION|UNKNOWN_FK|GMS_AWARD_BUDGET_PERIODS|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_CERTS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_DEPARTMENT_CREDITS|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_FUNDING_SOURCES_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_FUNDING_SOURCES_B|AWARD_FUNDING_SOURCE_ID|gms_award_funding_sources_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|TEMPLATE_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_HEADERS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_KEYWORDS|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_KEYWORDS|AWD_PROJECT_LNK_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_PERSONNEL|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_PROJECTS|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_PROJECTS|AWD_PROJECT_LNK_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_PROJECTS|AWD_PROJECT_LNK_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_PROJECTS|AWD_PROJECT_LNK_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_PROJECTS|AWD_PROJ_LINKAGE_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_REFERENCES_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_REFERENCES_B|AWD_PROJECT_LNK_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_TEMPLATES_B|TEMPLATE_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWARD_TERMS_B|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWD_PRJ_FND_SOURCES|AWD_PROJ_LINKAGE_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWD_PRJ_FND_SOURCES|AWARD_FUNDING_SOURCE_ID|gms_award_funding_sources_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWD_PRJ_TSK_BRD_SCHEDULES|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_AWD_PRJ_TSK_BRD_SCHEDULES|AWD_PROJECT_LNK_ID|gms_award_projects|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_CERTIFICATIONS_B|CERTIFICATION_ID|gms_certifications_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_ERRORS|AWARD_ID|gms_award_headers_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_FFR_ATTACHMENTS|HEADER_ID|gms_ffr_header|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_FFR_INDIRECT_EXPENSES|HEADER_ID|gms_ffr_header|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTION_CONTACTS|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTION_CONTACTS|INSTN_CONTACT_ID|gms_institution_contacts|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTION_LOCATIONS|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|REPORTS_TO|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|REPORTS_TO|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTITUTIONS_B|RECIPIENT_INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_AUDIT_ALERTS_B|INSTN_AUDIT_DETAIL_ID|gms_instn_audit_details_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_AUDIT_DETAILS_B|INSTN_AUDIT_TYPE_ID|gms_instn_audit_types|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_AUDIT_DETAILS_B|INSTN_AUDIT_DETAIL_ID|gms_instn_audit_details_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_AUDIT_TYPES|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_AUDIT_TYPES|INSTN_AUDIT_TYPE_ID|gms_instn_audit_types|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_REFERENCES_B|INSTITUTION_ID|gms_institutions_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_INSTN_REFERENCES_B|REFERENCE_ID|gms_references_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_REFERENCES_B|REFERENCE_ID|gms_references_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_REFERENCES_B|REFERENCE_ID|gms_references_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_SPONSORS_B|BILL_TO_SPONSOR|gms_sponsors_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_SPONSORS_B|SPONSOR_ID|gms_sponsors_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_SPONSORS_B|BILL_TO_SPONSOR|gms_sponsors_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_SPONSORS_B|SPONSOR_ID|gms_sponsors_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_SPONSORS_REFERENCES_B|SPONSOR_ID|gms_sponsors_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_SPONSORS_REFERENCES_B|REFERENCE_ID|gms_references_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_TERM_CATEGORIES_B|TERM_CATEGORY_ID|gms_term_categories_b|UNKNOWN|1
FUSION|UNKNOWN_FK|GMS_TERMS_B|TERM_CATEGORY_ID|gms_term_categories_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_ACCOUNTING_EVENTS|CONTRACT_ID, MAJOR_VERSION|okc_k_headers_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_ACCT_SWEEPER_LOGS|REV_DISTRIBUTION_ID|pjb_rev_distributions|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_ASSIGNMENT_DETAILS|BILLING_EXTENSION_ID|pjb_billing_extensions|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_ASSIGNMENT_DETAILS|BILL_METHOD_ID|pjb_billing_methods_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_ASSIGNMENT_DETAILS|BILL_PLAN_ID, MAJOR_VERSION|pjb_bill_plans_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_ASSIGNMENTS|BILLING_EXTENSION_ID|pjb_billing_extensions|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_ASSIGNMENTS|BILL_METHOD_ID|pjb_billing_methods_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_ASSIGNMENTS|CONFIGURATION_ID|pjb_proc_configurators_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_CONTROLS|CONTRACT_ID, MAJOR_VERSION|okc_k_headers_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_CONTROLS|CONTRACT_LINE_ID, MAJOR_VERSION|okc_k_lines_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_CONTROLS|RBS_ELEMENT_ID|pjf_rbs_elements|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EVENTS|PROJECT_ID|pjf_projects_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EVENTS|TASK_ID|pjf_proj_elements_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EVENTS|INVENTORY_ITEM_ID, ITEM_ORGANIZATION_ID|egp_system_items_b|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EVENTS|EVENT_ID|pjb_billing_events|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EVENTS|EVENT_ID|pjb_billing_events|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EVENTS|EVENT_ID|pjb_billing_events|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EXTENSIONS|BILLING_EXTENSION_ID|pjb_billing_extensions|UNKNOWN|1
FUSION|UNKNOWN_FK|PJB_BILLING_EXTENSIONS|BILLING_EXTENSION_ID|pjb_billing_extensions|UNKNOWN|1
