OWNER|FK_NAME|SRC_TABLE|SRC_COLUMN|TGT_TABLE|TGT_COLUMN|POSITION
FUSION|UNKNOWN_FK|ADF_CASCADING_LOOKUP_ASST|RELATIONSHIP_ID|adf_cascading_lookup_rel|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_CASCADING_LOOKUP_REL|RELATIONSHIP_ID|adf_cascading_lookup_rel|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSIBLE_TABLE|TABLE_ID|adf_extensible_table|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSIBLE_TABLE|TABLE_ID|adf_extensible_table|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSIBLE_TABLE_USAGE|TABLE_ID|adf_extensible_table|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSIBLE_TABLE_USAGE|TABLE_USAGE_ID|adf_extensible_table_usage|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSION_COLUMN|TABLE_ID|adf_extensible_table|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSION_COLUMN|COLUMN_ID|adf_extension_column|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSION_COLUMN_USAGE|TABLE_USAGE_ID|adf_extensible_table_usage|UNKNOWN|1
FUSION|UNKNOWN_FK|ADF_EXTENSION_COLUMN_USAGE|COLUMN_ID|adf_extension_column|UNKNOWN|1
FUSION|UNKNOWN_FK|ATC_ALT_CONDITION_GROUP|PROD_OFFER_PRICE_ID|ATC_PROD_OFFER_PRICES|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ATTRIBUTE_CONFIG_ALL|ORG_ID|cn_repositories_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CALENDARS_B|PERIOD_TYPE_ID|cn_period_types_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CALENDARS_B|CALENDAR_ID|cn_calendars_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CALENDARS_B|CALENDAR_ID|cn_calendars_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CALENDARS_B|CALENDAR_ID|cn_calendars_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CALENDARS_TL|CALENDAR_ID|cn_calendars_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CAL_PER_INT_TYPES_ALL|INTERVAL_TYPE_ID, ORG_ID|cn_interval_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CAL_PER_INT_TYPES_ALL|CAL_PER_INT_TYPE_ID|cn_cal_per_int_types_all|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLAN_COMPONENTS_ALL|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLAN_COMPONENTS_ALL|PLAN_COMPONENT_ID, ORG_ID|cn_plan_components_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_B|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_COMP_PLANS_ALL_TL|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONTRACT_PLAN_ASSIGNS_ALL|COMP_PLAN_ID|cn_comp_plans_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONTRACT_PLAN_ASSIGNS_ALL|CONTRACT_TEXT_ID|cn_contract_texts_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONTRACT_TEXTS_ALL_B|CONTRACT_TEXT_ID|cn_contract_texts_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONTRACT_TEXTS_ALL_B|CONTRACT_TEXT_ID|cn_contract_texts_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONTRACT_TEXTS_ALL_TL|CONTRACT_TEXT_ID|cn_contract_texts_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONVERSION_RATES|CONVERSION_TYPE_ID|cn_conversion_types_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONVERSION_TYPES_B|CONVERSION_TYPE_ID|cn_conversion_types_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONVERSION_TYPES_B|CONVERSION_TYPE_ID|cn_conversion_types_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CONVERSION_TYPES_TL|CONVERSION_TYPE_ID|cn_conversion_types_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_CONV_FCTS_ALL|FROM_CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_CONV_FCTS_ALL|TO_CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|EARNING_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|FROM_CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|TO_CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|EARNING_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|EARNING_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|EARNING_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|EARNING_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_B|EARNING_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_CREDIT_TYPES_ALL_TL|CREDIT_TYPE_ID, ORG_ID|cn_credit_types_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_DISPUTES_ALL|PARTICIPANT_ID|cn_srp_participants_all|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
FUSION|UNKNOWN_FK|CN_ELIGIBLE_CATS_ALL_B|ELIGIBLE_CAT_ID|cn_eligible_cats_all_b|UNKNOWN|1
