OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|ADF_METADATA_REVISIONS_U1|ADF_METADATA_REVISIONS|Unique|REVISION_ID
FUSION|ADF_PERS_DOCUMENTS_U1|ADF_PERS_DOCUMENTS|Unique|DOC_TYPE, DOC_NAME
FUSION|ADF_SB_CERTIFIED_BASELINES_I1|ADF_SB_CERTIFIED_BASELINES|Non Unique|REPOSITORY_ID, CERTIFIED_LABEL
FUSION|ADF_SB_DIFF_RESOLVER_U1|ADF_SB_DIFF_RESOLVER|Unique|RID
FUSION|ADF_SB_ENABLED_FEATURES_U1|ADF_SB_ENABLED_FEATURES|Unique|SANDBOX_ID, FEATURE_ID
FUSION|ADF_SB_FEATURES_U1|ADF_SB_FEATURES|Unique|SANDBOX_ID, FEATURE_ID
FUSION|ADF_SB_LOG_HISTORY_U1|ADF_SB_LOG_HISTORY|Unique|SANDBOX_ID, LOG_ID
FUSION|ADF_SB_LOG_RECORDS_U1|ADF_SB_LOG_RECORDS|Unique|LOG_ID, LOG_RECORD_ID
FUSION|ADF_SB_LOGS_U1|ADF_SB_LOGS|Unique|LOG_ID
FUSION|ADF_SB_PATCHED_SANDBOXES_U1|ADF_SB_PATCHED_SANDBOXES|Unique|PATCH_ID, SANDBOX_ID
FUSION|ADF_SB_PATCHES_U1|ADF_SB_PATCHES|Unique|PATCH_ID
FUSION|ADF_SB_REPOSITORIES_U1|ADF_SB_REPOSITORIES|Unique|SANDBOX_ID, REPOSITORY_ID
FUSION|ADF_SB_REPOSITORY_BASELINES_U1|ADF_SB_REPOSITORY_BASELINES|Unique|BASELINE_ID
FUSION|ADF_SB_REPOSITORY_LOCKS_U1|ADF_SB_REPOSITORY_LOCKS|Unique|LOCK_NAME, REPOSITORY_ID
FUSION|ADF_SB_SANDBOXES_U1|ADF_SB_SANDBOXES|Non Unique|NAME
FUSION|ADF_SB_SANDBOXES_U2|ADF_SB_SANDBOXES|Unique|SANDBOX_ID
FUSION|ADF_SB_SANBOXES_B_U1|ADF_SB_SANDBOXES_B|Unique|SANDBOX_ID
FUSION|ADF_SB_SANDBOXES_TL_U1|ADF_SB_SANDBOXES_TL|Unique|SANDBOX_ID, LANGUAGE
FUSION|ADF_SB_SANDBOXES_TL_U2|ADF_SB_SANDBOXES_TL|Unique|NAME, LANGUAGE
FUSION|ADF_SB_USERS_U1|ADF_SB_USERS|Unique|SANDBOX_ID, USER_NAME
FUSION|APM_RGX_OP_STORES_INDEX1|APM_RGX_OP_STORES|Non Unique|ROLE_CODE
FUSION|APM_RGX_OP_STORES_U1|APM_RGX_OP_STORES|Unique|ROLE_CODE, TEMPLATE_ID
FUSION|APM_RGX_TEMPLATE_INDEX1|APM_RGX_TEMPLATE|Non Unique|TEMPLATE_FULL_PATH
FUSION|APM_RGX_TEMPLATE_U1|APM_RGX_TEMPLATE|Unique|TEMPLATE_ID
FUSION|APPLCP_PP_ACTIONS_U1|APPLCP_PP_ACTIONS|Unique|ID, ORA_SEED_SET1
FUSION|APPLCP_PP_ACTIONS_U11|APPLCP_PP_ACTIONS|Unique|ID, ORA_SEED_SET2
FUSION|APPLCP_PP_ACTIONS_TL_U1|APPLCP_PP_ACTIONS_TL|Unique|ID, LANGUAGE, ORA_SEED_SET1
FUSION|APPLCP_PP_ACTIONS_TL_U11|APPLCP_PP_ACTIONS_TL|Unique|ID, LANGUAGE, ORA_SEED_SET2
FUSION|ATK_ESSMETA_DS_B_U1|ATK_ESSMETA_DS_B|Unique|DATASOURCE_ID
FUSION|ATK_ESSMETA_DS_TL_PK|ATK_ESSMETA_DS_TL|Unique|DATASOURCE_ID, LANGUAGE
FUSION|ATK_FUSE_CARDS_PK|ATK_FUSE_CARDS|Unique|FUSE_CARD_CODE, ORA_SEED_SET1
FUSION|ATK_FUSE_CARDS_PK1|ATK_FUSE_CARDS|Unique|FUSE_CARD_CODE, ORA_SEED_SET2
FUSION|ATK_FUSE_CARDS_U1|ATK_FUSE_CARDS|Unique|FUSE_CARD_CODE, CARD_ICON, CARD_LOOKUP_TYPE, CARD_LOOKUP_CODE, CARD_ENABLED, CAN_BE_HIDDEN, ORA_SEED_SET1
FUSION|ATK_FUSE_CARDS_U11|ATK_FUSE_CARDS|Unique|FUSE_CARD_CODE, CARD_ICON, CARD_LOOKUP_TYPE, CARD_LOOKUP_CODE, CARD_ENABLED, CAN_BE_HIDDEN, ORA_SEED_SET2
FUSION|ATK_FUSE_CARDS_EXTN_PK|ATK_FUSE_CARDS_EXTN|Unique|FUSE_CARD_CODE
FUSION|ATK_FUSE_CARDS_EXTN_U1|ATK_FUSE_CARDS_EXTN|Unique|FUSE_CARD_CODE, CARD_LOOKUP_TYPE, CARD_LOOKUP_CODE, CARD_ENABLED
FUSION|ATK_FUSE_CARDS_SEQ_PK|ATK_FUSE_CARDS_SEQ|Unique|FUSE_CARD_CODE, FUSE_CATEGORY_CODE, ORA_SEED_SET1
FUSION|ATK_FUSE_CARDS_SEQ_PK1|ATK_FUSE_CARDS_SEQ|Unique|FUSE_CARD_CODE, FUSE_CATEGORY_CODE, ORA_SEED_SET2
FUSION|ATK_FUSE_CARDS_SEQ_U1|ATK_FUSE_CARDS_SEQ|Unique|FUSE_CARD_CODE, FUSE_CATEGORY_CODE, CARD_SEQUENCE, ENABLED, ORA_SEED_SET1
FUSION|ATK_FUSE_CARDS_SEQ_U11|ATK_FUSE_CARDS_SEQ|Unique|FUSE_CARD_CODE, FUSE_CATEGORY_CODE, CARD_SEQUENCE, ENABLED, ORA_SEED_SET2
FUSION|ATK_FUSE_CARDS_SEQ_EXTN_PK|ATK_FUSE_CARDS_SEQ_EXTN|Unique|FUSE_CARD_CODE, FUSE_CATEGORY_CODE
FUSION|ATK_FUSE_CARDS_SEQ_EXTN_U1|ATK_FUSE_CARDS_SEQ_EXTN|Unique|FUSE_CARD_CODE, FUSE_CATEGORY_CODE, CARD_SEQUENCE
FUSION|ATK_FUSE_THEME_IMAGES_PK|ATK_FUSE_THEME_IMAGES|Unique|THEME_ID, THEME_ATTR_NAME
FUSION|ATK_FUSE_THEME_IMAGES_U1|ATK_FUSE_THEME_IMAGES|Unique|THEME_NAME, THEME_ATTR_NAME
FUSION|ATK_FUSE_THEME_PROPERTIES_PK|ATK_FUSE_THEME_PROPERTIES|Unique|THEME_ID, THEME_ATTR_NAME, ORA_SEED_SET1
FUSION|ATK_FUSE_THEME_PROPERTIES_PK1|ATK_FUSE_THEME_PROPERTIES|Unique|THEME_ID, THEME_ATTR_NAME, ORA_SEED_SET2
FUSION|ATK_FUSE_THEME_PROPERTIES_U1|ATK_FUSE_THEME_PROPERTIES|Unique|THEME_NAME, THEME_ATTR_NAME, ORA_SEED_SET1
FUSION|ATK_FUSE_THEME_PROPERTIES_U11|ATK_FUSE_THEME_PROPERTIES|Unique|THEME_NAME, THEME_ATTR_NAME, ORA_SEED_SET2
