OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|TABLESPACE|COLUMNS
FUSION|XLA_BAL_CTRL_LINES_GT_N1|XLA_BAL_CTRL_LINES_GT|Non Unique|APPLICATION_ID, LEDGER_ID, EFFECTIVE_PERIOD_NUM|
FUSION|XLA_BAL_CTRL_LINES_GT_U1|XLA_BAL_CTRL_LINES_GT|Unique|AE_HEADER_ID, AE_LINE_NUM|
FUSION|VRM_CREDIT_DOC_AMOUNTS_U1|VRM_CREDIT_DOC_AMOUNTS|Unique|FUSION_TS_TX_IDX|CREDIT_DOC_AMOUNT_ID
FUSION|XLA_AE_LINES_GT_N1|XLA_AE_LINES_GT|Non Unique|LEDGER_ID, AE_HEADER_ID, TEMP_LINE_NUM, BALANCE_TYPE_CODE|
FUSION|XLA_AE_LINES_GT_N2|XLA_AE_LINES_GT|Non Unique|LEDGER_ID, AE_HEADER_ID, GAIN_OR_LOSS_FLAG, CALCULATE_G_L_AMTS_FLAG|
FUSION|XLA_AE_LINES_GT_N3|XLA_AE_LINES_GT|Non Unique|LEDGER_ID, AE_HEADER_ID, BALANCE_TYPE_CODE, GAIN_OR_LOSS_FLAG, EVENT_ID|
FUSION|XLA_AE_LINES_GT_U1|XLA_AE_LINES_GT|Unique|LEDGER_ID, REF_AE_HEADER_ID, TEMP_LINE_NUM, AE_HEADER_ID, HEADER_NUM|
FUSION|JV_OVERHEAD_MEASURE_TYPES_PK|JV_OVERHEAD_MEASURE_TYPES|Unique|Default|OVERHEAD_MEASURE_TYPE_ID
FUSION|JV_OVERHEAD_MEASURE_TYPES_U1|JV_OVERHEAD_MEASURE_TYPES|Unique|Default|OVERHEAD_METHOD_ID, MEASURE_TYPE_ID
FUSION|CE_AP_PM_DOC_CATEGORIES_N1|CE_AP_PM_DOC_CATEGORIES|Non Unique|Default|BANK_ACCT_USE_ID
FUSION|CE_AP_PM_DOC_CATEGORIES_U1|CE_AP_PM_DOC_CATEGORIES|Unique|Default|AP_PM_DOC_CATEGORY_ID
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS_N1|CE_PMT_INSTR_BU_ASSIGNMENTS|Non Unique|Default|PAYMENT_INSTRUMENT_ID
FUSION|CE_PMT_INSTR_BU_ASSIGNMENTS_U1|CE_PMT_INSTR_BU_ASSIGNMENTS|Unique|Default|PMT_INSTR_BU_ASSIGNMENT_ID
FUSION|GL_PURGE_DATA_TO_PURGE_U1|GL_PURGE_DATA_TO_PURGE|Unique|Default|PURGE_RUN_ID, BUSINESS_OBJECT_CODE, CALENDAR_ID, LEDGER_ID, LEGAL_ENTITY_ID, BALANCING_SEGMENT_VALUE
FUSION|XLA_JERS_ADR_LINES_U1|XLA_JERS_ADR_LINES|Unique|Default|APPLICATION_ID, AMB_CONTEXT_CODE, JERS_TYPE_CODE, JERS_CODE, EVENT_CLASS_CODE, EVENT_TYPE_CODE, ACCOUNTING_LINE_TYPE_CODE, ACCOUNTING_LINE_CODE, FLEXFIELD_SEGMENT_CODE, SIDE_CODE, ORA_SEED_SET1
FUSION|XLA_JERS_ADR_LINES_U11|XLA_JERS_ADR_LINES|Unique|Default|APPLICATION_ID, AMB_CONTEXT_CODE, JERS_TYPE_CODE, JERS_CODE, EVENT_CLASS_CODE, EVENT_TYPE_CODE, ACCOUNTING_LINE_TYPE_CODE, ACCOUNTING_LINE_CODE, FLEXFIELD_SEGMENT_CODE, SIDE_CODE, ORA_SEED_SET2
FUSION|JV_CI_GROUPS_F_B_N1_|JV_CI_GROUPS_F_B_|Non Unique|Default|STAKEHOLDER_GROUP_ID
FUSION|JV_CI_GROUPS_F_B_U1_|JV_CI_GROUPS_F_B_|Unique|Default|LAST_UPDATE_DATE, LAST_UPDATED_BY, STAKEHOLDER_GROUP_ID
FUSION|CE_ACCT_TRX_CREAT_RULES_N1_|CE_ACCT_TRX_CREAT_RULES_|Non Unique|Default|ACCT_TRX_CREATION_RULE_ID
