OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|PO_ACTION_HISTORY_N2|PO_ACTION_HISTORY|Non Unique|PERFORMER_ID
FUSION|PO_ACTION_HISTORY_U1|PO_ACTION_HISTORY|Unique|OBJECT_ID, OBJECT_TYPE_CODE, OBJECT_SUB_TYPE_CODE, SEQUENCE_NUM, ACTION_CODE
FUSION|PO_AGENT_ACCESSES_N3|PO_AGENT_ACCESSES|Non Unique|AGENT_ID, ACCESS_ACTION_CODE
FUSION|PO_AGENT_ACCESSES_N4|PO_AGENT_ACCESSES|Non Unique|ACCESS_ACTION_CODE
FUSION|PO_AGENT_ACCESSES_U1|PO_AGENT_ACCESSES|Unique|ASSIGNMENT_ID, ACCESS_ACTION_CODE
FUSION|PO_AGENT_ACCESSES_U2|PO_AGENT_ACCESSES|Unique|PRC_BU_ID, ACCESS_ACTION_CODE, AGENT_ID
FUSION|PO_AGENT_ASSIGNMENTS_N1|PO_AGENT_ASSIGNMENTS|Non Unique|AGENT_ID
FUSION|PO_AGENT_ASSIGNMENTS_U1|PO_AGENT_ASSIGNMENTS|Unique|ASSIGNMENT_ID
FUSION|PO_AGENT_ASSIGNMENTS_U2|PO_AGENT_ASSIGNMENTS|Unique|PRC_BU_ID, AGENT_ID
FUSION|PO_AGENTS_U1|PO_AGENTS|Unique|AGENT_ID
FUSION|PO_APPROVED_SUPPLIER_LIST_F1|PO_APPROVED_SUPPLIER_LIST|Non Unique|"UPPER(""PRIMARY_VENDOR_ITEM"")"
FUSION|PO_APPROVED_SUPPLIER_LIST_N1|PO_APPROVED_SUPPLIER_LIST|Non Unique|ITEM_ID, VENDOR_ID
FUSION|PO_APPROVED_SUPPLIER_LIST_N2|PO_APPROVED_SUPPLIER_LIST|Non Unique|VENDOR_ID, CATEGORY_ID
FUSION|PO_APPROVED_SUPPLIER_LIST_N3|PO_APPROVED_SUPPLIER_LIST|Non Unique|VENDOR_ID, PRIMARY_VENDOR_ITEM
FUSION|PO_APPROVED_SUPPLIER_LIST_N4|PO_APPROVED_SUPPLIER_LIST|Non Unique|CATEGORY_ID
FUSION|PO_APPROVED_SUPPLIER_LIST_U1|PO_APPROVED_SUPPLIER_LIST|Unique|ASL_ID
FUSION|PO_APPROVED_SUPP_LIST_N5|PO_APPROVED_SUPPLIER_LIST|Non Unique|MANUFACTURER_ID
FUSION|PO_APPROVED_SUPP_LIST_N6|PO_APPROVED_SUPPLIER_LIST|Non Unique|MANUFACTURER_ASL_ID
FUSION|PO_ASL_ATTRIBUTES_N1|PO_ASL_ATTRIBUTES|Non Unique|VENDOR_ID, ITEM_ID
FUSION|PO_ASL_ATTRIBUTES_N2|PO_ASL_ATTRIBUTES|Non Unique|USING_ORGANIZATION_ID
FUSION|PO_ASL_ATTRIBUTES_N3|PO_ASL_ATTRIBUTES|Non Unique|ASL_ATTRIBUTES_ID
FUSION|PO_ASL_ATTRIBUTES_U1|PO_ASL_ATTRIBUTES|Unique|ASL_ID, USING_ORGANIZATION_ID
FUSION|PO_ASL_DOCUMENTS_N1|PO_ASL_DOCUMENTS|Non Unique|ASL_ATTRIBUTES_ID
FUSION|PO_ASL_DOCUMENTS_U1|PO_ASL_DOCUMENTS|Unique|ASL_SOURCE_DOCUMENTS_ID
FUSION|PO_ASL_DOCUMENTS_U2|PO_ASL_DOCUMENTS|Unique|"ASL_ID, USING_ORGANIZATION_ID, DOCUMENT_HEADER_ID, CASE WHEN ""DOCUMENT_TYPE_CODE"" = 'BLANKET' THEN ""DOCUMENT_LINE_ID"" END"
FUSION|PO_ASL_STATUSES_U1|PO_ASL_STATUSES|Unique|STATUS_ID, ORA_SEED_SET1
FUSION|PO_ASL_STATUSES_U11|PO_ASL_STATUSES|Unique|STATUS_ID, ORA_SEED_SET2
FUSION|PO_ASL_STATUSES_U2|PO_ASL_STATUSES|Unique|STATUS, ORA_SEED_SET1
FUSION|PO_ASL_STATUSES_U21|PO_ASL_STATUSES|Unique|STATUS, ORA_SEED_SET2
FUSION|PO_ATTRIBUTE_VALUES_N1|PO_ATTRIBUTE_VALUES|Non Unique|PO_HEADER_ID
FUSION|PO_ATTRIBUTE_VALUES_U1|PO_ATTRIBUTE_VALUES|Unique|ATTRIBUTE_VALUES_ID
FUSION|PO_ATTRIBUTE_VALUES_U2|PO_ATTRIBUTE_VALUES|Unique|PO_LINE_ID
FUSION|PO_ATTR_VALUES_DRAFT_N1|PO_ATTRIBUTE_VALUES_DRAFT|Non Unique|PO_HEADER_ID
FUSION|PO_ATTR_VALUES_DRAFT_U1|PO_ATTRIBUTE_VALUES_DRAFT|Unique|ATTRIBUTE_VALUES_ID
FUSION|PO_ATTR_VALUES_DRAFT_U2|PO_ATTRIBUTE_VALUES_DRAFT|Unique|PO_LINE_ID
FUSION|PO_ATTRIBUTE_VALUES_TLP_N1|PO_ATTRIBUTE_VALUES_TLP|Non Unique|PO_HEADER_ID
FUSION|PO_ATTRIBUTE_VALUES_TLP_U1|PO_ATTRIBUTE_VALUES_TLP|Unique|ATTRIBUTE_VALUES_TLP_ID
FUSION|PO_ATTRIBUTE_VALUES_TLP_U2|PO_ATTRIBUTE_VALUES_TLP|Unique|PO_LINE_ID, LANGUAGE
FUSION|PO_ATTR_VALUES_TLP_DRAFT_N1|PO_ATTRIBUTE_VALUES_TLP_DRAFT|Non Unique|PO_HEADER_ID
FUSION|PO_ATTR_VALUES_TLP_DRAFT_N2|PO_ATTRIBUTE_VALUES_TLP_DRAFT|Non Unique|LANGUAGE
FUSION|PO_ATTR_VALUES_TLP_DRAFT_U1|PO_ATTRIBUTE_VALUES_TLP_DRAFT|Unique|ATTRIBUTE_VALUES_TLP_ID
FUSION|PO_ATTR_VALUES_TLP_DRAFT_U2|PO_ATTRIBUTE_VALUES_TLP_DRAFT|Unique|PO_LINE_ID, LANGUAGE
FUSION|PO_ATTR_VALUES_ARCHIVE_N1|PO_ATTR_VALUES_ARCHIVE|Non Unique|PO_HEADER_ID, FROM_CO_SEQ
FUSION|PO_ATTR_VALUES_ARCHIVE_U1|PO_ATTR_VALUES_ARCHIVE|Unique|ATTRIBUTE_VALUES_ID, FROM_CO_SEQ
FUSION|PO_ATTR_VALUES_ARCHIVE_U2|PO_ATTR_VALUES_ARCHIVE|Unique|PO_LINE_ID, FROM_CO_SEQ
FUSION|PO_ATTR_VALUES_INT_N1|PO_ATTR_VALUES_INTERFACE|Non Unique|INTERFACE_LINE_ID, INTERFACE_HEADER_ID
