OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|AWARD_BDGT_PRD_INTERFACE_U1|GMS_AWARD_BDGT_PRDS_INT|Unique|BDGT_PRD_INTERFACE_ID
FUSION|GMS_AWARD_BUDGET_PERIODS_N1|GMS_AWARD_BUDGET_PERIODS|Non Unique|AWARD_ID
FUSION|GMS_AWARD_BUDGET_PERIOD_U1|GMS_AWARD_BUDGET_PERIODS|Unique|ID
FUSION|GMS_AWARD_BUDGET_PERIOD_U1_|GMS_AWARD_BUDGET_PERIODS_|Unique|LAST_UPDATE_DATE, LAST_UPDATED_BY, ID
FUSION|GMS_AWARD_BUDGET_PERIOD_N1_|GMS_AWARD_BUDGET_PERIODS_|Non Unique|AWARD_ID
FUSION|GMS_AWARD_CERTS_B_U1|GMS_AWARD_CERTS_B|Unique|ID
FUSION|GMS_AWARD_CERTS_B_U2|GMS_AWARD_CERTS_B|Unique|AWARD_ID, AWD_PROJECT_LNK_ID, CERTIFICATION_ID
FUSION|GMS_AWARD_CERTS_B_N1_|GMS_AWARD_CERTS_B_|Non Unique|AWARD_ID
FUSION|GMS_AWARD_CERTS_B_U1_|GMS_AWARD_CERTS_B_|Unique|LAST_UPDATE_DATE, LAST_UPDATED_BY, ID
FUSION|GMS_AWARD_CERTS_INT_U1|GMS_AWARD_CERTS_INT|Unique|AWARD_CERT_INTERFACE_ID
FUSION|GMS_AWARD_CERTS_TL_U1_|GMS_AWARD_CERTS_TL_|Unique|LAST_UPDATE_DATE, LAST_UPDATED_BY, ID, LANGUAGE
FUSION|GMS_AWARD_CERTS_TL_U1|GMS_AWARD_CERTS_TL|Unique|ID, LANGUAGE
FUSION|GMS_AWARD_CFDAS_N1_|GMS_AWARD_CFDAS_|Non Unique|AWARD_ID
FUSION|GMS_AWARD_CFDAS_U1_|GMS_AWARD_CFDAS_|Unique|LAST_UPDATE_DATE, LAST_UPDATED_BY, ID
FUSION|GMS_AWARD_CFDAS_XFACE_U1|GMS_AWARD_CFDAS_INT|Unique|AWARD_CFDA_INTERFACE_ID
FUSION|GMS_AWD_DEP_CREDITS_U1|GMS_AWARD_DEPARTMENT_CREDITS|Unique|ID, AWARD_ID, AWD_PROJECT_LNK_ID
