OWNER|INDEX_NAME|TABLE_NAME|UNIQUENESS|COLUMNS
FUSION|ACA_ATTACH_MIGRATE_LOG_N1|ACA_ATTACH_MIGRATE_LOG|Non Unique|PK1_VALUE, PK2_VALUE, PK3_VALUE, MIGRATION_STATUS, MIGRATION_TYPE
FUSION|ACA_ATTACH_MIGRATE_LOG_U1|ACA_ATTACH_MIGRATE_LOG|Unique|MIGRATE_LOG_ID
FUSION|ACA_AU_ATTRIBUTE_U1|ACA_AU_ATTRIBUTE|Unique|ATTRIBUTE_ID, ORA_SEED_SET1
FUSION|ACA_AU_ATTRIBUTE_U11|ACA_AU_ATTRIBUTE|Unique|ATTRIBUTE_ID, ORA_SEED_SET2
FUSION|ACA_AU_ATTRIBUTE_U2|ACA_AU_ATTRIBUTE|Unique|ENTITY_ID, ATTRIBUTE_NAME, ORA_SEED_SET1
FUSION|ACA_AU_ATTRIBUTE_U21|ACA_AU_ATTRIBUTE|Unique|ENTITY_ID, ATTRIBUTE_NAME, ORA_SEED_SET2
FUSION|ACA_AU_ATTR_MAP_A9_U1|ACA_AU_ATTR_MAP_A9|Unique|ATTR_MAP_A9_ID, ORA_SEED_SET1
FUSION|ACA_AU_ATTR_MAP_A9_U11|ACA_AU_ATTR_MAP_A9|Unique|ATTR_MAP_A9_ID, ORA_SEED_SET2
FUSION|ACA_AU_ATTR_MAP_A9_U2|ACA_AU_ATTR_MAP_A9|Unique|ATTRIBUTE_ID, ORA_SEED_SET1
FUSION|ACA_AU_ATTR_MAP_A9_U21|ACA_AU_ATTR_MAP_A9|Unique|ATTRIBUTE_ID, ORA_SEED_SET2
FUSION|ACA_AU_ATTR_MAP_E6_U1|ACA_AU_ATTR_MAP_E6|Unique|ATTR_MAP_E6_ID, ORA_SEED_SET1
FUSION|ACA_AU_ATTR_MAP_E6_U11|ACA_AU_ATTR_MAP_E6|Unique|ATTR_MAP_E6_ID, ORA_SEED_SET2
FUSION|ACA_AU_ATTR_MAP_E6_U2|ACA_AU_ATTR_MAP_E6|Unique|ATTRIBUTE_ID, AUPLM_ATTRIBUTE_NAME, ORA_SEED_SET1
FUSION|ACA_AU_ATTR_MAP_E6_U21|ACA_AU_ATTR_MAP_E6|Unique|ATTRIBUTE_ID, AUPLM_ATTRIBUTE_NAME, ORA_SEED_SET2
