OWNER,VIEW_NAME,TEXT_LENGTH,EDITIONING_VIEW,READ_ONLY
FUSION,ACA_ATTACH_MIGRATE_LOG,268,Y,N
FUSION,ACA_AUTO_SEQ_METADATA_B,357,Y,N
FUSION,ACA_AUTO_SEQ_METADATA_TL,274,Y,N
FUSION,ACA_AUTO_SEQ_METADATA_VL,745,N,N
FUSION,ACA_AU_ATTRIBUTE,416,Y,N
FUSION,ACA_AU_ATTR_MAPPING,361,Y,N
FUSION,ACA_AU_ATTR_MAP_A9,291,Y,N
FUSION,ACA_AU_ATTR_MAP_E6,285,Y,N
FUSION,ACA_AU_ATTR_MAP_PIM,279,Y,N
FUSION,ACA_AU_ATTR_PROPERTY,287,Y,N
FUSION,ACA_AU_CONFIGURATION,285,Y,N
FUSION,ACA_AU_CONNECTOR,274,Y,N
FUSION,ACA_AU_ENTITY,359,Y,N
FUSION,ACA_AU_ENTITY_MAPPING,276,Y,N
FUSION,ACA_AU_ENTITY_MAP_A9,303,Y,N
FUSION,ACA_AU_ENTITY_MAP_E6,357,Y,N
FUSION,ACA_AU_ENTITY_MAP_PIM,273,Y,N
FUSION,ACA_CLIPBOARD_ENTRIES,468,Y,N
FUSION,ACA_CONTEXT,171,Y,N
FUSION,ACA_CONTEXT_ACTION,281,Y,N
FUSION,ACA_CS_ACTION_LOG,359,Y,N
FUSION,ACA_CS_CLASS_B,452,Y,N
FUSION,ACA_CS_CLASS_FAMILY,263,Y,N
FUSION,ACA_CS_CLASS_TL,267,Y,N
FUSION,ACA_CS_CLASS_VL,969,N,N
FUSION,ACA_CS_HISTORY,410,Y,N
FUSION,ACA_CS_OBJECT_ADAPTER,487,Y,N
FUSION,ACA_CS_RELATIONSHIP,525,Y,N
FUSION,ACA_CS_RELATIONSHIP_,596,Y,N
FUSION,ACA_CS_REL_AGILE_DESIGN,407,Y,N
FUSION,ACA_CS_REL_RULES,275,Y,N
FUSION,ACA_CS_REL_RULES_,346,Y,N
FUSION,ACA_CS_WORKFLOW_COMMENTS,206,Y,N
FUSION,ACA_CUSTOM_OBJECT,4820,Y,N
FUSION,ACA_DOCUMENT_B,226,Y,N
FUSION,ACA_DOCUMENT_CLASSES_V,2148,N,N
FUSION,ACA_DOCUMENT_RESOLUTION_GT,173,Y,N
FUSION,ACA_DOCUMENT_STRUCTURE,864,Y,N
FUSION,ACA_DOCUMENT_TL,210,Y,N
FUSION,ACA_DOCUMENT_VERSION_B,729,Y,N
FUSION,ACA_DOCUMENT_VERSION_TL,255,Y,N
FUSION,ACA_DOCUMENT_VERSION_VL,1732,N,N
FUSION,ACA_DOCUMENT_VL,806,N,N
FUSION,ACA_HIDDEN_ITEM_ATTR_GROUPS,181,Y,N
FUSION,ACA_IMPORT_BATCH_THREADS,233,Y,N
FUSION,ACA_IMPORT_ERRORS_LOG,272,Y,N
FUSION,ACA_INFOTILES_B,320,Y,N
FUSION,ACA_INFOTILES_TL,262,Y,N
FUSION,ACA_INFOTILES_VL,892,N,N
FUSION,ACA_INFOTILE_DETAILS_B,301,Y,N
FUSION,ACA_INFOTILE_DETAILS_TL,292,Y,N
FUSION,ACA_INFOTILE_DETAILS_VL,673,N,N
FUSION,ACA_ITEM_CLASSES_V,2715,N,N
FUSION,ACA_ITEM_DOCUMENT_MAPPING,276,Y,N
FUSION,ACA_MD_CRITERIA,160,Y,N
FUSION,ACA_MD_CRITERIA_CONDITION,281,Y,N
FUSION,ACA_NON_DOCUMENT_CLASSES_V,1740,N,N
FUSION,ACA_PARAMETRIC_SRCH_ATTRS,258,Y,N
FUSION,ACA_PC_COMMON_CONFIG_B,267,Y,N
FUSION,ACA_PC_COMMON_CONFIG_TL,295,Y,N
FUSION,ACA_PC_COMMON_CONFIG_VL,442,N,N
FUSION,ACA_PD_ITEM_COST,534,Y,N
FUSION,ACA_PD_ITEM_COST_INT,650,Y,N
FUSION,ACA_PD_ITEM_COST_SEC,723,N,Y
FUSION,ACA_QI_PR_V,1367,N,N
FUSION,ACA_RELATIONSHIPS_INT,500,Y,N
FUSION,ACA_REPORT_PARAMETER_B,309,Y,N
FUSION,ACA_REPORT_PARAMETER_TL,248,Y,N
FUSION,ACA_REPORT_PARAMETER_VL,833,N,N
FUSION,ACA_REPORT_PATH_B,293,Y,N
FUSION,ACA_REPORT_PATH_TL,238,Y,N
FUSION,ACA_REPORT_PATH_VL,782,N,N
FUSION,ACA_RULE_PDA_ATTR_B,313,Y,N
FUSION,ACA_RULE_PDA_ATTR_GRP_B,307,Y,N
FUSION,ACA_RULE_PDA_ATTR_GRP_TL,283,Y,N
FUSION,ACA_RULE_PDA_ATTR_GRP_VL,673,N,N
FUSION,ACA_RULE_PDA_ATTR_TL,291,Y,N
FUSION,ACA_RULE_PDA_ATTR_VL,719,N,N
FUSION,ACA_RULE_PDA_ENTITY_AG,245,Y,N
FUSION,ACA_RULE_PDA_ENTITY_B,261,Y,N
FUSION,ACA_RULE_PDA_ENTITY_TL,263,Y,N
FUSION,ACA_RULE_PDA_ENTITY_VL,544,N,N
FUSION,ACA_STRUCTURE_EXPL_STAGING,614,Y,N
FUSION,ACA_STRUCTURE_IMPL_STAGING,701,Y,N
FUSION,ACA_STRUCTURE_REF_DESIGNATOR_V,541,N,N
FUSION,ACA_STR_REPORT_INPUT,508,Y,N
FUSION,ACA_STR_REPORT_OUTPUT,230,Y,N
FUSION,ACA_TEAM,221,Y,N
FUSION,ACA_UI_STATES_GROUP,274,Y,N
FUSION,ACA_USER_PREFERENCE,199,Y,N
FUSION,ACA_WF_ACTIONS_B,253,Y,N
FUSION,ACA_WF_ACTIONS_TL,202,Y,N
FUSION,ACA_WF_ACTIONS_VL,871,N,N
FUSION,ACA_WF_INSTANCE,383,Y,N
FUSION,ACA_WF_LIFECYCLE_STATUSES,694,Y,N
FUSION,ACA_WF_METADATA,280,Y,N
FUSION,ACA_WF_OBJECT_TYPES_B,275,Y,N
FUSION,ACA_WF_OBJECT_TYPES_TL,289,Y,N
FUSION,ACA_WF_OBJECT_TYPES_VL,924,N,N
FUSION,ACA_WF_ROUTES,467,Y,N
FUSION,ACA_WF_ROUTE_PEOPLE,444,Y,N
FUSION,ACA_WF_ROUTE_PEOPLE_COMMENTS,247,Y,N
FUSION,ACA_WF_ROUTE_STEPS,571,Y,N
FUSION,ACA_WF_STATUS_B,360,Y,N
FUSION,ACA_WF_STATUS_PROPERTIES,274,Y,N
FUSION,ACA_WF_STATUS_TL,272,Y,N
FUSION,ACA_WF_STATUS_VL,1078,N,N
FUSION,ACA_WF_TEMPLATE_B,281,Y,N
FUSION,ACA_WF_TEMPLATE_TL,276,Y,N
FUSION,ACA_WF_TEMPLATE_VL,876,N,N
FUSION,ACA_WF_TMPL_OBJ_TYPE_MAP,265,Y,N
FUSION,ACD_BUSINESS_DETAILS_B,1823,Y,N
FUSION,ACD_BUSINESS_DETAILS_B_INT,1920,Y,N
FUSION,ACD_BUSINESS_DETAILS_B_SEC,3523,N,Y
FUSION,ACD_BUSINESS_DETAILS_TL,251,Y,N
FUSION,ACD_BUSINESS_DETAILS_TL_INT,366,Y,N
FUSION,ACD_BUSINESS_DETAILS_VL,4869,N,N
FUSION,ACD_COMMENT,198,Y,N
FUSION,ACD_COMPONENT_B,5737,Y,N
FUSION,ACD_COMPONENT_B_INT,5177,Y,N
FUSION,ACD_COMPONENT_B_XM,17329,Y,N
FUSION,ACD_COMPONENT_TL,212,Y,N
FUSION,ACD_COMPONENT_TL_INT,319,Y,N
FUSION,ACD_COMPONENT_VL,12048,N,N
FUSION,ACD_CONCEPTS_PROJ_TASKS_V,878,N,N
FUSION,ACD_CONCEPTS_RELATIONSHIP_V,4960,N,N
FUSION,ACD_CONCEPTS_STRUCTURE_COUNT_V,900,N,N
FUSION,ACD_CONCEPT_B,5810,Y,N
FUSION,ACD_CONCEPT_B_INT,5369,Y,N
FUSION,ACD_CONCEPT_B_XM,17327,Y,N
FUSION,ACD_CONCEPT_INT,5621,Y,N
FUSION,ACD_CONCEPT_INT_SEC,5563,N,Y
FUSION,ACD_CONCEPT_STRUCTURE,6872,Y,N
FUSION,ACD_CONCEPT_STRUCTURE_INT,6360,Y,N
FUSION,ACD_CONCEPT_STRUCTURE_SEC,6887,N,Y
FUSION,ACD_CONCEPT_STRUCTURE_XM,17335,Y,N
FUSION,ACD_CONCEPT_STR_COMPONENTS_V,235,N,N
FUSION,ACD_CONCEPT_STR_CONCEPTS_V,473,N,N
FUSION,ACD_CONCEPT_TL,217,Y,N
FUSION,ACD_CONCEPT_TL_INT,354,Y,N
FUSION,ACD_CONCEPT_VL,12160,N,N
FUSION,ACD_COSTS,5756,Y,N
FUSION,ACD_COSTS_B_INT,437,Y,N
FUSION,ACD_COSTS_INT,3160,Y,N
FUSION,ACD_COSTS_INT_SEC,3014,N,Y
FUSION,ACD_COSTS_SEC,5586,N,Y
FUSION,ACD_COSTS_XM,17323,Y,N
FUSION,ACD_DESIGN_ASSIGNMENT,211,Y,N
FUSION,ACD_METRICS,1816,Y,N
FUSION,ACD_METRICS_MEASURES,392,Y,N
